StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q31,Q17,Random ID
2021-05-04 19:58:58,2021-05-04 20:18:34,IP Address,73.24.61.188,100,1176,TRUE,2021-05-04 20:18:35,R_DTZ24xBxZRh6GAh,,,,,34.6739959716797000,-92.35700225830080000,anonymous,EN,Pick up green ball,take red ball to yellow box,go to red box in another room,go to purple key,1,go to green box and take it to green ball,go to gray ball,go through purple door to the red ball,go through gray door to grey key,3,"go though green door to blue grab green key, go to blue box",grab yellow box and go to grey ball,go to yellow ball,go to red door,5,go to purple ball,go to green key,grab red box,grab green box,go to grey ball,2,none,90190
2021-05-04 20:06:29,2021-05-04 20:28:17,IP Address,208.203.212.226,100,1308,TRUE,2021-05-04 20:28:17,R_1rpmZ3ninjQVDMY,,,,,39.9844970703125,-75.58599853515630,anonymous,EN,go to the red box,go to the red box,go to the bule ball,go to the levender key,2,go to the green ball,go to the blue ball,go to the red ball,go to the red ball,3,go to the red box,go to the red box,go to the lavender ball,go to the red box,5,go to the red box,go to the red box,go to the red box,go to the red box,go to the red box,3,good,68616
2021-05-04 20:13:41,2021-05-04 20:35:42,IP Address,99.44.131.199,100,1321,TRUE,2021-05-04 20:35:43,R_XsNjNuLENlrc1ix,,,,,25.658905029296900,-80.3553009033203000,anonymous,EN,Turn arrow up pointing at green circle,go to a red ball,"go thru the door at the bottom o the next room, go thru the the on the right to the next room, go up thru the door to the next room, go to the left to the next room and go to red crate",go up and to the left point at purple key,1,"go to yellow dot, go to blue key, pick up green box and place in front of green dot","go to red box, go to blue ball, go to grey ball",go to red ball,open door go to purple key,3,go thru door and pick up green key,go to yellow box and pick it up,go to purple ball then go to yellow ball,go to yellow box,2,go to blue ball,go to red box go to red ball go to go to grey box,go to grey ball then go to blue key,go to yellow box then go to green box,go to red box the  go to grey ball,3,,66333
2021-05-04 20:10:37,2021-05-04 20:39:16,IP Address,45.88.89.75,100,1719,TRUE,2021-05-04 20:39:16,R_3meOJgux6hiwRPy,,,,,39.085296630859400,-77.64520263671880,anonymous,EN,move the colum,move the blue ball,move the blue ball,move the yellow box,1,move the green ball,move yellow ball,move the gray ball,a grey door and go to the red ball,1,move the blue ,go to a blue box,"go to a green key and pick up the yellow box, then go to the purple key","open the purple door, then go to the green ball, then go to the red box",2,move the red key and go to the blue ball,go to the red box and go to a purple key,pick up the grey box and put the grey box next to a green key,"open the blue door, then pick up the blue key and go to a red box",go to the yellow door and go to a green box,4,good,48422
2021-05-04 20:11:28,2021-05-04 20:44:51,IP Address,24.155.48.156,100,2002,TRUE,2021-05-04 20:44:51,R_21A1GG0rfEAO89q,,,,,27.6775970458984000,-97.3650970458984000,anonymous,EN,Face the green circle,Place the red circle in front of the yellow box,Move through 3 rooms in the 4th room stand in front of the red box,"Turn right at the yellow key, go past the green box, then stand in front of the purple key",1,"Go to the blue box, then go to the yellow box, stand in front of the green box",Go to the red box then go to the blue ball then stop at the gray ball,"Go through the purple door, go to the gray ball and stop at the red ball",Go through the gray door and stop at the gray key.,3,"Open the blue door, go to the purple box and the blue circle",Go to the purple key,"Pick up yellow ball, put down yellow ball, go to the yellow door","Put down yellow box, go to red door and purple ball",2,Open green door go to purple circle,"Open green door, go to gray box, go to green key",Pick up red box go past yellow key,"Open blue door, go to yellow box, pick up green box, go to green door","Open purple door, go to green box, go to gray ball",5,I did sort of enjoy this although I did find it quite frustrating!,14525
2021-05-04 21:03:06,2021-05-04 21:25:05,IP Address,122.178.230.48,100,1319,TRUE,2021-05-04 21:25:05,R_3D1idVMqfDQEU0Z,,,,,12.9633941650391000,77.58551025390630,anonymous,EN,The IELTS task 1 structure Introduce the graph / chart. Give an overview. Describe the main features. D. Give a short conclusion.,Practice Generating Ideas…But Don't Write The Essay. ... Analyse Model Essays: Reverse Engineer. ... Find Ideas On The Internet. ... Ask Yourself Some Questions About The Topic. ... Simplify The Question. ...,"Machine learning is traditionally formalized and investigated as the study of learning concepts and decision functions from labeled examples, requiring a representation that encodes information about the domain of the decision function to be learned.","Natural language processing has its roots in the 1950s. Already in 1950, Alan Turing published an article titled ""Computing Machinery and Intelligence"" which proposed what is now called the Turing test as a criterion of intelligence, a task that involves the automated interpretation and generation of natural language, but at the time not articulated as a problem separate from artificial intelligence.",2,"Few notorious examples include – tweets / posts on social media, user to user chat conversations, news, blogs and articles, product or services reviews and patient records in the healthcare sector. A few more recent ones includes chatbots and other voice driven bots.","Processing of Natural Language is required when you want an intelligent system like robot to perform as per your instructions, when you want to hear decision from a dialogue based clinical expert system, etc.",What natural language is and how it is different from other types of data. What makes working with natural language so challenging. Where the field of NLP came from and how it is defined by modern practitioners.,"There are still many challenging problems to solve in natural language. Nevertheless, deep learning methods are achieving state-of-the-art results on some specific language problems.",3,NLP is a subfield of computer science and artificial intelligence concerned with interactions between computers and human (natural) languages. It is used to apply machine learning algorithms to text and speech.,Natural Language processing and AI – AI technology for businesses is an increasingly popular topic and all but inevitable for most companies. ,"Everything we express (either verbally or in written) carries huge amounts of information. The topic we choose, our tone, our selection of words, everything adds some type of information that can be interpreted and value extracted from it",The workshops in the TextGraphs series have published and promoted the synergy between the field of Graph Theory and Natural Language Processing,5,"spaCy v3.0 introduces a comprehensive and extensible system for configuring your training runs. Your configuration file will describe every detail of your training run, with no hidden defaults, making it easy to rerun your experiments and track changes",This tutorial targets the medical informatics generalist who has limited acquaintance with the principles behind NLP and/or limited knowledge of the current state of the art.,"NLP began in the 1950s as the intersection of artificial intelligence and linguistics. NLP was originally distinct from text information retrieval (IR), which employs highly scalable statistics-based techniques to index and search large volumes of text efficiently: Manning et al1 provide an excellent introduction to IR.","The field of study that focuses on the interactions between human language and computers is called Natural Language Processing or NLP for short. It sits at the intersection of computer science, artificial intelligence, and computational linguistics (Wikipedia).",NLP stands for Natural Language Processing which helps the machines understand and analyse natural languages. It is an automated process to extract required information from data by applying machine learning algorithms. ,4,it is a very interesting,31848
2021-05-04 20:55:11,2021-05-04 21:39:48,IP Address,223.181.222.19,100,2676,TRUE,2021-05-04 21:39:48,R_2taGovwyAM72G0D,,,,,11.0142059326172000,76.994110107421900,anonymous,EN,close to green ball,go to a red ball,go the the red window ,go to the purple key,1,go to green box then go put near green circle ,go to the grey ball,go to the red ball,go to the grey key,3,go the the blue box,pick yellow box the put yellow box to a next yellow ball,pick yellow ball,pick yellow box then go to red door,2,go the red box,pick grey box then go to a green key,open the blue door  then pick up the blue key and go to a red box,pick green box,go the the grey ball,4,Interesting task .thank you ,83062
2021-05-04 21:44:15,2021-05-04 22:03:46,IP Address,172.11.220.144,100,1170,TRUE,2021-05-04 22:03:46,R_3khxoFJmaEKTqQQ,,,,,39.643798828125,-84.1743011474609000,anonymous,EN,point at the green ball,place the red ball,point toward the red thing,go to the purple key,1,take the green box to the green ball,go to the gray ball,go to the red ball,go to the gray key,3,pick up a blue key and go through  a blue door,pick up a yellow box,go through a green door and pick up a yellow ball,pick up a yellow box,2,"go through the red door, move the blue ball and go to the purple ball",go to a green key,move a gray ball and pick up the red box,pick up a green box,go to a gray ball,5,,41832
2021-05-04 22:22:32,2021-05-04 22:42:19,IP Address,68.40.57.86,100,1186,TRUE,2021-05-04 22:42:19,R_PO0Dur3IfwhX9dL,,,,,42.306793212890600,-83.705902099609400,anonymous,EN,the red was facing towards green,it takes one red balls,"go to red ball,and put it in red ",go to a purpel key,2,go to green door,go to grey ball,"go to yellow box , go to purple box,go to green box and go to purple box","go to  grey box ,take grey key",3,open a blue box,go  to grey box,"go to green box, take a yellow ball",go to purple ball,2,go to green box,go to green box.and take a green ball,go to grey box and take green box,go to  a yellow door and  go to green door,open the red door and go to the red key and open the purple door,2,,10374
2021-05-04 22:01:54,2021-05-04 22:57:52,IP Address,106.211.224.237,100,3358,TRUE,2021-05-04 22:57:53,R_3Rmd0Le2svanQ3p,,,,,11.0142059326172000,76.994110107421900,anonymous,EN,"go to a blue ball, then go to a green ball.","go to red key, then go the red ball, then move the red ball next to the yellow box.",go to middle left red box by opening four doors,"go to a blue box, then go to yellow ball, then go to a purple key",1,"go to a yellow ball and go to the blue key, then go and pick up the green box, then place it near the yellow ball.",go to the top grey ball,go to the grey gate and go to the purple gate and reach the red ball.,"open a grey door , then go to a grey key.",3,take the green key and open the blue door then go next to blue box.,pick the yellow box and go to near purple key,open the purple doorpick the blue ball and place it 2 steps reverse. then open the green door and place the yellow ball to up side.,pick up a yellow box andopen the red door,2,go to the red box then open the green door and go to a blue ball,pick up the grey box and open the green door and put the grey box next to green key,open the grey door and pick up the red box,open the yellow door and pick up the green box,open the blue door and go to grey ball.,3,,40442
