StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q31,Q17,Random ID,explanation0,explanation1,explanation2,explanation3,explanation4,explanation5,explanation6,explanation7,explanation8,explanation9,explanation10,explanation11,explanation12,explanation13,explanation14,explanation15,explanation16
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Task 1






Please provide a natural language instruction describing Task 1.","Task 2






Please provide a natural language instruction describing Task 2.","Task 3






Please provide a natural language instruction describing Task 3.","Task 4






Please provide a natural language instruction describing Task 4.","Task 5






How many doors does the robot pass through to reach the blue box?","Task 6






Please provide a natural language instruction describing Task 6.","Task 7






Please provide a natural language instruction describing Task 7.","Task 8






Please provide a natural language instruction describing Task 8.","Task 9






Please provide a natural language instruction describing Task 9.","Task 10






How many red balls are there on the board?","Task 11






Please provide a natural language instruction describing Task 11.","Task 12






Please provide a natural language instruction describing Task 12.","Task 13






Please provide a natural language instruction describing Task 13.","Task 14






Please provide a natural language instruction describing Task 14.","Task 15






How many blue keys are there on the board?","Task 16






Please provide a natural language instruction describing Task 16.","Task 17






Please provide a natural language instruction describing Task 17.","Task 18






Please provide a natural language instruction describing Task 18.","Task 19






Please provide a natural language instruction describing Task 19.","Task 20






Please provide a natural language instruction describing Task 20.","That's it! Thanks so much for your participation. Just one more question:
On a scale of 1 (very easy) to 5 (very difficult), how would you rate the survey in terms of difficulty?","Comments



Finally, please let us know if you have any comments!",Random ID,explanation0,explanation1,explanation2,explanation3,explanation4,explanation5,explanation6,explanation7,explanation8,explanation9,explanation10,explanation11,explanation12,explanation13,explanation14,explanation15,explanation16
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""Random ID""}","{""ImportId"":""explanation0""}","{""ImportId"":""explanation1""}","{""ImportId"":""explanation2""}","{""ImportId"":""explanation3""}","{""ImportId"":""explanation4""}","{""ImportId"":""explanation5""}","{""ImportId"":""explanation6""}","{""ImportId"":""explanation7""}","{""ImportId"":""explanation8""}","{""ImportId"":""explanation9""}","{""ImportId"":""explanation10""}","{""ImportId"":""explanation11""}","{""ImportId"":""explanation12""}","{""ImportId"":""explanation13""}","{""ImportId"":""explanation14""}","{""ImportId"":""explanation15""}","{""ImportId"":""explanation16""}"
2021-05-04 20:12:28,2021-05-04 20:40:32,IP Address,97.94.182.160,100,1683,TRUE,2021-05-04 20:40:32,R_skeZfBiEHhwaVSF,,,,,33.7711944580078000,-118.1454010009770000,anonymous,EN,The robot picks up a green ball.,Pick up a red ball and go to a yellow door,go to the red door,got to the purple key,1,place the green box above the green ball,go to a grey ball,go to a red ball,go to a grey key,3,go to a grey box,pick up a yellow box and go to a grey ball,move a yellow ball away from a yellow door,go to a red door,2,go to a purple ball,go to a green key,pick up a red box,pick up a green box,go to a grey ball,1,,56574,go to a green door and go to a green ball and pick up a yellow ball,go to a yellow door and go to the red ball,go to the red door,go to the purple key,put the green box next to a green ball,go to a grey ball,go to a red ball,,,,,,,,,,
2021-05-04 19:59:48,2021-05-04 20:46:36,IP Address,170.244.166.223,100,2807,TRUE,2021-05-04 20:46:36,R_2TAe3kVZVGZ4Y0E,,,,,-18.1591949462891000,-47.9474029541016000,anonymous,EN,"go ahead 4 blocks,turn left 1 block,right 3 blocks, turn left","go to the red ball, take it and go to the chest","go to the green ball, go to the blue ball, go to the red chest",go to the purple key,1,go to the green chest and go to the green ball,go to the gray ball,go through the yellow door and the purple door and the green door go back and go through the yellow and purple doors,go through the gray door go to the gray ball and go back and go through the other gray door,3,go to the blue key and go through the green door and go back through the gray and yellow door and go back through the gray and go through the green door and the green door and through the green door take the green key and go through the blue door,"go to the red door, go back and go through the gray door through the blue one, the purple one, go to the yellow chest, go to the gray ball",go to the purple door and go back go to gray take the purple ball release and bake for the putra purple door go back and go through the green door go to the next green door take the yellow ball,take yellow chest release and go to red door,2,go through the red door and get the blue ball go back through the blue door and release the ball and go to the green door,go through the purple door and take the gray chest and go through the gray and blue and green door and the other green door and go back through the green and green and blue door and go through the green door,go through the gray and purple door and blue and purple take the gray ball go back through the gray door release go through the purple door take the blue key release in front of the yellow door go through the purple door go through the gray door take the red door go back through the gray door,go through the blue door and get a green chest,go through the red door go to the other red door take and release the red chest go back through the red door go through the blue door and the other blue door and go back and go to the purple door and go to the gray ball,4,maybe there's a spelling mistake of mine,59721,go to the red ball and go to the purple ball,go to the red box and go to a red box,go to the purple ball and go to a green ball and go to the red ball,go to the purple key,go to a green ball and go to the green ball,go to a grey ball,"go to the purple door and go to a yellow door, then go to the green door","go to a grey door, then go to the green ball, then go to the blue door","go to the blue key and go to the green door, then open a green door and go to a blue key","go to a yellow door, then open the purple door and go to the red ball and go to the grey ball",,,,,,,
2021-05-04 19:55:19,2021-05-04 20:53:44,IP Address,103.58.65.148,100,3504,TRUE,2021-05-04 20:53:44,R_2EFYwqPMXcXYkKL,,,,,11.4575042724609000,78.19140625,anonymous,EN,english,french,right,purple key,2,2,gray ,red,grey,3,green,blue,green,grey,2,blue bolls,green,grey,red,blue,3,na,56182,go to the grey door,open a grey door,go to the red ball,go to a purple key,go to a yellow door and go to a green door,go to a grey door,go to a red ball,go to the grey door,go to the green door,,,,,,,,
2021-05-04 20:51:58,2021-05-04 21:22:25,IP Address,63.75.242.132,100,1827,TRUE,2021-05-04 21:22:26,R_3DeyEQREN4mMjjk,,,,,42.5836029052734000,-83.4989013671875,anonymous,EN,English,English,French,English,2,English,English,English,English,3,English,English,English,English,2,English,English,English,English,English,3,good,55434,,,,,,,,,,,,,,,,,
2021-05-04 21:00:01,2021-05-04 21:54:12,IP Address,45.47.49.42,100,3250,TRUE,2021-05-04 21:54:12,R_2zw49fJ04r9fAPp,,,,,43.1114959716797000,-76.18340301513670000,anonymous,EN,Robot picks up green ball.,Robot picks up red ball; Robot drops ball a short distance away.,Robot opens four doors and stops at red box.,Robot locates purple key.,1,Robot picks up green box and moves it a short distance.,Robot locates grey ball.,Robot walks through doors 6 times to locate red ball.,Robot locates grey key one room over.,3,"Robot locates, picks up and puts down blue key;  Robot searches, locates and picks up green key.","Picks up, puts down green key, searches and finds yellow box.",Robot found and moved purple ball;  Robot found and moved yellow ball.,Robot puts down yellow box;  Robot exits room.,2,Robot picks up and puts down blue ball;  Locates purple ball.,Robot picks up grey box.,Robot picks up and puts down grey ball; picks up and puts down box.,Robot locates and picks up green box.,Robot picks up and puts down red box;  Robot locates grey ball.,4,,77515,,,,,,,,,,,,,,,,,
2021-05-04 22:06:44,2021-05-04 22:47:43,IP Address,157.46.66.77,100,2459,TRUE,2021-05-04 22:47:43,R_1DCMckqxo8KuFsh,,,,,13.0579071044922000,80.192108154296900,anonymous,EN,Introduce the graph / chart. Give an overview. Describe the main features. D. Give a short conclusion.,Practice Generating Ideas…But Don't Write The Essay. ... Analyse Model Essays: Reverse Engineer. ... Find Ideas On The Internet. ... Ask Yourself Some Questions About The Topic. ... Simplify The Question. ... Imagine Your Teacher Or Friend Is Asking You The Question.,"It's an intuitive behavior used to convey information and meaning with semantic cues such as words, signs, or images. ... While the terms AI and NLP might conjure images of futuristic robots, there are already basic examples of NLP at work in our daily lives.","Natural Language Processing, usually shortened as NLP, is a branch of artificial intelligence that deals with the interaction between computers and humans using the natural language. The ultimate objective of NLP is to read, decipher, understand, and make sense of the human languages in a manner that is valuable.",2,"It's an intuitive behavior used to convey information and meaning with semantic cues such as words, signs, or images. ... While the terms AI and NLP might conjure images of futuristic robots, there are already basic examples of NLP at work in our daily lives.","It's an intuitive behavior used to convey information and meaning with semantic cues such as words, signs, or images. ... While the terms AI and NLP might conjure images of futuristic robots, there are already basic examples of NLP at work in our daily lives.","Natural Language Processing, usually shortened as NLP, is a branch of artificial intelligence that deals with the interaction between computers and humans using the natural language. The ultimate objective of NLP is to read, decipher, understand, and make sense of the human languages in a manner that is valuable","It's an intuitive behavior used to convey information and meaning with semantic cues such as words, signs, or images. ... While the terms AI and NLP might conjure images of futuristic robots, there are already basic examples of NLP at work in our daily lives.",3,"The five phases of NLP involve lexical (structure) analysis, parsing, semantic analysis, discourse integration, and pragmatic analysis. Some well-known application areas of NLP are Optical Character Recognition (OCR), Speech Recognition, Machine Translation, and Chatbots.","The five phases of NLP involve lexical (structure) analysis, parsing, semantic analysis, discourse integration, and pragmatic analysis. Some well-known application areas of NLP are Optical Character Recognition (OCR), Speech Recognition, Machine Translation, and Chatbots","It's an intuitive behavior used to convey information and meaning with semantic cues such as words, signs, or images. ... While the terms AI and NLP might conjure images of futuristic robots, there are already basic examples of NLP at work in our daily lives.","In neuropsychology, linguistics, and the philosophy of language, a natural language or ordinary language is any language that has evolved naturally in humans through use and repetition without conscious planning or premeditation.",2,go to blue box,go to yellow box,go to blue box,go to blue box,go to yellow box,1,nice,42634,,,,,,,,,,,,,,,,,
2021-05-04 22:06:02,2021-05-04 23:06:44,IP Address,107.204.176.61,100,3641,TRUE,2021-05-04 23:06:44,R_5uK9IXS0VoRaXu1,,,,,43.1204986572266000,-89.35230255126950000,anonymous,EN,Choose green circle,Drop red ball in front of yellow gate,Find red gate,Find purple key,1,Drop green box north of green ball,Find gray ball,Find red ball,Find gray key,3,"Find green key, stand northeast of purple box","Find yellow box, stand south of purple key",Move yellow ball southeast of the original location,"Pick up and drop yellow box, open red door.",2,"Move blue ball three tiles east, stop east of purple ball","Pick up northernmost gray box, stop west of southernmost gray box","Move gray ball two tiles east, move blue key two tiles north and one east, pick up red box.",Pick up green box.,"Pick up and replace red box, stop east of gray ball.",3," I had an issue with the feedback page after the videos. I was not actually given any feedback about the instruction I gave. Instead, I was shown the sentence ""The following version of your command is easier for our robot to understand:"" with nothing after the colon. This happened after every video, so I was not able to integrate any feedback into my instruction writing as a result. ",44658,,,,,,,,,,,,,,,,,
2021-05-04 23:52:20,2021-05-05 00:24:48,IP Address,157.51.75.12,100,1948,TRUE,2021-05-05 00:24:49,R_25LzRJEaW2HcEYR,,,,,13.0579071044922000,80.192108154296900,anonymous,EN,GO TO GREEN BOX,Practice Generating Ideas…But Don't Write The Essay. ... Analyse Model Essays: Reverse Engineer. ... Find Ideas On The Internet. ... Ask Yourself Some Questions About The Topic. ... Simplify The Question. ... Imagine Your Teacher Or Friend Is Asking You The Question.,GO TO BLUE BOX,GO TO BLUE BOX,1,GO TO GREEN BOX,"The five phases of NLP involve lexical (structure) analysis, parsing, semantic analysis, discourse integration, and pragmatic analysis. Some well-known application areas of NLP are Optical Character Recognition (OCR), Speech Recognition, Machine Translation, and Chatbots",GO TO YELLOW BOX,GO TO GREEN BOX,3,"It's an intuitive behavior used to convey information and meaning with semantic cues such as words, signs, or images. ... While the terms AI and NLP might conjure images of futuristic robots, there are already basic examples of NLP at work in our daily lives.",GO TO YELLOW BOX,GO TO RED BOX,GO TO RED BOX,2,GO TO BLUE BOX,Natural-language understanding or natural-language interpretation is a subtopic of natural-language processing in artificial intelligence that deals with machine reading comprehension. Natural-language understanding is considered an AI-hard problem.,GO TO BLUE BOX,GO TO YELLOW BOX,GO TO YELLOW BOX,1,NICE,83919,,,,,,,,,,,,,,,,,
