StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q19,Q47,Q50,Q22,Q23,Q54,Q56,Q30,Q59,Q32,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q62,Q17,Random ID
2021-01-22 15:37:09,2021-01-22 16:33:43,IP Address,68.163.50.134,100,3393,TRUE,2021-01-22 16:33:43,R_RxDRm5pwrpSKjvj,,,,,39.935699462890600,-75.183197021484400,anonymous,EN,,,,,,,,,,,Go to the green ball,Put the red ball next to the yellow door,Go to a red box,Go to the purple key,1,Put the green box next to the green ball,Go to a gray ball,Go to the red ball,Go to a gray ball and a gray key,3,"Pick up the blue key, put it down, pick up the green key, go between a blue box and a blue ball","Pick up and put down a yellow key, pick up the yellow box, go next to the purple key near the grey ball",Go to the yellow door,"Pick up and put down the yellow box, go to a red door",2,Go next to a purple ball,"Pick up a gray box, go next to a gray box while facing a green key","Move the blue key next to the yellow box, pick up the red box, go near a blue door","Go next to a yellow door, go next to the yellow box, pick up a green box, go near a green door","Pick up and put down a red box, got to the gray ball",,"I often had trouble distinguishing yellow from green when they weren't right next to each other. I also had several situations where I couldn't figure out how to explain the robot's behavior based on my mental model of the ways goals could be specified to it, and tried to imagine other ways of specifying relations between objects and the robot consistent with behavior.",
2021-02-05 13:08:45,2021-02-05 13:22:16,IP Address,216.54.20.2,100,810,TRUE,2021-02-05 13:22:16,R_UQ2yL9fEzE3ArpD,,,,,36.643402099609400,-76.24199676513670000,anonymous,EN,,,,,,,,,,,Go to the green ball,Pick up the red ball and drop it next to the yellow box,Go through a blue door then a purple door to a red box,go to the purple key,1,Go pick up the green box and put it next to the green ball,Go to the grey ball,Go through yellow door then a grey door and then a green door and back through the green door to a yellow door then through a purple door ,Go through grey door and tehn back up through a brown door and stop next to a grey key ,3,Go get blue key but put it back down then go through the green door and turn back around through the green door and go through the grey door and then through the yellow door and then come back through the yellow door and grey door to go through the green door and go through the next green door and then a third green door to pick up a green key and go through a blue door ,Pick up and droop green key then go through a red door then turn around and go back through and go through the grey door then go through a blue door and then go through the next grey door and pick up a yellow box and go back through the last two doors ,Go through the purple door and then go through the same door again and go through a grey door pick up purple ball and go through open door turn around and come back through and go through a green door and then another green door and move the yellow ball,Go through the red door ,2,Go through the red door and pick up a blue ball then go through the green door ,Go through the purple door and pick up a grey box then go through a grey door and then go through a blue door and then go through a green door and then find the next green door to go through and turn around and go back through the first green door and the blue door but turn and go through another green door ,Go through a grey door and then go through a purple door and then a blue door and another grey door to move the grey ball and then go back through that last door and go open another grey door and pick up the red block and move it go move the blue key next to the yellow block. Then ,Go through the blue door then go get the green box ,"Go through the red door and go through the second red door and pick up and drop the red box, then go back through the second red door then through a blue door and then a second blue door but turn around and come back through the two red doors and go through the purple door an stop by the grey ball",,This was kind of interesting but stressful  toward the end! ,
2021-02-05 13:11:17,2021-02-05 13:25:49,IP Address,67.247.196.28,100,871,TRUE,2021-02-05 13:25:49,R_1dzhaKE86HUGb4u,,,,,46.68280029296880,-68.01689910888670000,anonymous,EN,,,,,,,,,,,go to the green ball,put the red ball next to the yellow door,go to a red square,go to the purple key,1,put the green box by the green ball,go to the gray ball,go to the red ball,go the gray ball then go to the gray key,3,pick up and put down the blue key then go through a green door then go through a yellow door then pick up the green key and go to the blue ball ,pick up and put down the green key then go the the green box near the red key then pick up the yellow box and take it to the gray key,put the purple ball in the room with the blue key and open all the doors on the right side of the map then move the yellow ball from in front of the yellow door,pick up and put down the yellow box then go to the red door,2,open the red door and move the blue ball into the room you started in then go to the purple ball,open the purple door and pick up the gray box then go through the bloor door  and touch the red and purple ball then go through the two green doors look in the room with the blue ball then go to the room with two gray boxes,go through the gray door  then go through the purple door then the blue door  and move the gray ball out of the way then the purple door and move the blue key next to the yellow box then open the gray door and pick up the red box ,go through the blue door then check the yellow door and yellow box then pick up the green box and go to the green door,go through the red door and then go through another red door pick up the red box and put it down then go through the blue door then go through the other blue door and then back out and then go through the purple door and go to the gray ball,,"very difficult, because the player was doing random movements in some rooms",
2021-02-05 13:15:15,2021-02-05 13:41:39,IP Address,205.178.67.43,100,1583,TRUE,2021-02-05 13:41:39,R_1EYah1cw8hWuigI,,,,,41.9031982421875,-87.63829803466800000,anonymous,EN,,,,,,,,,,,go to the green ball,pick up the red ball and put it by the yellow box,go through the gray door then go to the red box,go to the purple key,1,pick up the green box and place it by the green circle,go to the gray circle,go to the red circle,go to the gray key,3,pick up the blue key and put it back down then find and pick up the green key and go in between the blue ball and purple box,"pick up the green key and put it back down, then pick up the yellow box and go through the blue door and go to the purple key",pick up the purple ball then go to the yellow door,go to the red door after picking up the yellow box,2,go through the red door and then go to the purple ball,go through the purple door then pick up the gray box and go to the green key,pick up the blue key and put it in front of the yellow box then pick up the red box and go to the blue door,pick up the green box then go to the green door,pick up the red box and put it back down then go to the gray ball,,,
2021-02-05 13:02:27,2021-02-05 13:52:39,IP Address,104.55.215.108,100,3012,TRUE,2021-02-05 13:52:40,R_1f6G4OdChsC5RS4,,,,,41.760894775390600,-88.01509857177730000,anonymous,EN,,,,,,,,,,,go to the green dot,move the red dot to the yellow door,go open the red door,get the purple key,1,open the green box ,go to the grey dot,open the yellow box open the green box and open the yellow box,open the green boxes,3,open up all of the boxes that are green and yellow only ,"open the red box, then open the yellow box and the blue box up top. next get the yellow box ","open the green box, open the blue box and then open 2 more green boxes",open the red box,2,get the blue dot open then open the green box,open the blue door then get the yellow box then open the door and get the blue box and open the green doors then go towards the green key,"open the blue doors, get the grey dot and the blue key. then get the red box",go to the green box,"open the red doors then the blue doors , then go to the grey dot",,,
2021-02-05 14:07:28,2021-02-05 14:32:40,IP Address,184.90.50.37,100,1511,TRUE,2021-02-05 14:32:40,R_2WZRrQAlFowBte9,,,,,29.2866058349609000,-81.0868988037109000,anonymous,EN,,,,,,,,,,,go to the green ball,pick up the red ball and put it next to the yellow box,find a red box,go to the purple key,1,pick up the green box and place it next to the green ball,go to the grey ball,go through 2 yellow doors and find the red ball,find a grey key,3,"find the green key, pick it up and then go near a blue ball.",find the yellow box and pick it up.,"find the purple ball, pick it up, put it down, find a yellow ball, pick it up and put it down","pick up a yellow box and put it down, move next to a purple ball.",2,"go through the red door, pick up the blue ball, put it down, and find the blue ball.",pick up a grey box and find a green key.,"go through the doors, move the grey ball, pick up the blue key and put it next to the yellow box.",pick up a green box.,"pick up a red box, put it down, and find the grey ball.",,"I sincerely hope I performed accurate work on this HIT. The instructions are indeed very simple, but some of the robot sequences didn't seem to have a goal in mind, just mindless wandering.",
2021-02-07 14:50:32,2021-02-07 15:21:55,IP Address,47.135.1.239,100,1883,TRUE,2021-02-07 15:21:55,R_3CJFHcq3jhZdu5P,,,,,35.753204345703100,-81.3264007568359000,anonymous,EN,,,,,,,,,,,Go to a blue ball then go to a green ball,Pick up the red ball then put the red ball down next to the yellow box,Open the grey door then go to the red box,Go to the purple key,1,Pick up the green box then put down the green box next to the green ball,Go to a grey ball,Go to the red ball,Go to a grey key,3,"Pick up the blue key then put it down then open all the yellow and green doors then pick up the green key, open the blue door and go to the space between the purple box and blue ball",Pick up the yellow box and go to the purple key,Go to the yellow door,Pick up the yellow box then put it down and go to the red door,2,Open the red door and then go to the purple ball,Pick up a grey box and go to the green key,Pick up the blue key and put it down next to the yellow box then pick up the red box and go to a blue door,Open the blue door then pick up the green box and go to the green door,"Pick up a red box and put down the red box, then go to a grey ball",,,58389
2021-02-07 14:04:34,2021-02-07 15:25:22,IP Address,177.87.66.159,100,4847,TRUE,2021-02-07 15:25:22,R_1P1S1SwTGrBlNPr,,,,,-15.779205322265600,-47.9340972900391000,anonymous,EN,,,,,,,,,,,go to the green ball,put the red ball next to the yellow box,open the blue door and go to the red box,go to the purple key,1,put the green box next to the green ball,go to the grey ball,open the purple door and go to the red ball,open the grey door go to the grey key after go to the grey ball,3,pick up the blue key then pinck up the green key and open the blue door,pick up the green key then pick up the yellow box,pick up th purple ball then move the yelow ball ,pick up the yellow box then go to the purple ball,2, open the red door put the blue ball next to the green ball then go to the purple ball,pick up the grey box then open the blue door go to the red ball then go to the grey box after you open the green door ,put the grey ball next to the yellow key then put the blue key next the yellow box and pick up the red box,open the blue door and pick up the green box,open the red door pick up the red box then go to the grey ball after you open the blue doors,,i really enjoyed the tasks thank you so much ,42942
2021-02-13 11:13:38,2021-02-13 11:45:43,IP Address,184.83.102.228,100,1924,TRUE,2021-02-13 11:45:44,R_vNPI5LDdGppvUtj,,,,,43.52349853515630,-96.73850250244140000,anonymous,EN,Go straight and turn right.,Go to the purple key.,"Go to the blue key first, then blue box then gray box.",Get the blue key.,"Go to the left bottom box, then move to the middle bottom.",Open all green doors,go to blue box,Move red key and open blue box.,Move gray ball by blue key and open blue door,Get blue ball,Go to green ball,Get red ball and move it on top of yellow box.,Go to red box.,Go to purple key.,1,"Get red box and move it between, a step bellow, Yellow box and yellow ball.",Go to gray ball.,Go to red ball.,Pick gray ball and then go to gray key.,3,Get the blue key then the green key and go to the blue ball.,Get green key then get green box and go back to the box you started in.,Get purple ball then open green door to pass through and go to green door.,Move yellow box and go to red door.,2,open blue door and go to gray ball.,"Get Yellow box, go to blue ball through gray door, then go to yellow key.",Move blue key under yellow box then get red box.,Get green box.,"Open red doors and get red box, then go to gray ball.",,Hope I did well,82668
2021-02-13 13:15:48,2021-02-13 14:09:14,IP Address,174.61.148.36,100,3205,TRUE,2021-02-13 14:09:14,R_3IW9S2ARWG1rN2w,,,,,47.6295013427734000,-122.316497802734000,anonymous,EN,Move red triangle three spaces forward and turn right,Go to the purple key,Go to the blue key then through the two squares,Pick up the blue key,Go to the green door,Go to the blue door,Go to the yellow circle and then to a blue door,"Open the yellow door, move the red key and go to the purple key",Put the gray ball next to a blue key and go through a blue door,Open the purple door then pick up the green box and move it,Go to the green ball,Pick up the red ball and put it next to the yellow box,Go to a red box,Go to the purple key,1,Pick up the green box and put it next to the green ball,Go to a gray ball,Open a green door then go to the red ball,Go to a gray key after going to a gray ball,3,"Pick up and put down a blue key, then pick up the green key and go through a door","Go to the yellow box, pick it up, and go to the purple key","Pick up a purple ball and move it through a door, then pick up a yellow ball and move it",Pick up and put down a yellow box and go to a red door,2,"Pick up the blue ball and move it, then go to the purple ball","Pick up a gray box, go to a red ball, open two green doors then go to a green key","Pick up the gray ball and move it, pick up the blue key and move it next to a yellow box, then pick up a red box",Open a yellow door and pick up a green box,"Pick up and put down a red box, then go to the gray ball",,,60493
