StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q31,Q17,Random ID
2021-02-05 12:59:57,2021-02-05 13:19:21,IP Address,75.138.8.177,100,1163,TRUE,2021-02-05 13:19:22,R_1F5SnVXcPOjP4rO,,,,,34.548492431640600,-87.00360107421880,anonymous,EN,Go to the green circle.,Pick up the red circle and put it in the box,"Find your way through until you find the blue door, and go to the red box.",Go to the purple key,1,"Grab the green box, and place it in front of the green circle",Go to the closest gray circle,"Find your way to the purple door, and go to the red circle",Find the gray key,3,Find the green key,Pick up the yellow box,Get into the yellow door,go to the red door,2,Find the blue ball,Take the black box to the room with the other black boxes.,Pick up the red box,Take the green box towards the green door,Find the red box,,,
2021-02-05 13:08:44,2021-02-05 13:34:28,IP Address,96.57.65.98,100,1543,TRUE,2021-02-05 13:34:28,R_1dtRskl5fTmX0vf,,,,,40.7281951904297000,-73.1804962158203000,anonymous,EN,I believe robot needs to collect keys in order to have access to the green kinda door looking object ?,"Robot moved the red circle, not sure why.",robot's task was to get to a specific cubicle.,It looks like robot wanted to get the purple key in order to open the purple door.,1,Robot moved the green rectangle to be next to green circle.,Robot wanted to move itself from below the red rectangle to the left of red rectangle.,"It looks like robot was exploring cubicles in search of something. When he reached a cubicle where there was no other way out, he went back and continue his search to a cubicle where he wasn't before.","Looks like robot was looking for something. Grey key ? It was not in the first cubicle, so he went to the other one and he found it.",3,"Robot looked lost, or searching for something.  In the end he found a green key, but I don't think he actually used it.","Robot picked and dropped a green key, then it looked like he is searching for a yellow rectangle, because after checking couple of cubicles, it was the only thing he picked up.","Robot was looking for something. While he was doing that, he moved purple and yellow circle when it were blocking his way.",Robot picked and dropped the yellow rectangle. I guess he didn't need it.,2,Go to the left middle cubicle.,Pick up the gray rectangle in upper left cubicle. Then find a second gray rectangle. ,Go to the lower middle cubicle.  Then go to the left bottom cubicle by moving away the gray circle. Then move the blue key two fields up and one field right. Then go to the lower right cubicle and pick up the red rectangle and go back to middle lower cubicle.,Go to the middle right cubicle and pick up the green rectangle. Then start walking towards the green door to Your left. ,Go to the lower right cubicle. Pick up and drop the red rectangle on the same field. Then go to upper middle cubicle. Then get to the middle left cubicle by opening the purple door.,,"I'm not sure what kids of descriptions You had in mind. Like actual ""descriptions"" of what is happening, or commands for robot to obey. I hope You'll be satisfied with my data. Kind Regards.",
2021-02-05 13:18:02,2021-02-05 13:46:06,IP Address,73.32.103.204,100,1684,TRUE,2021-02-05 13:46:07,R_2Sdd0c6bQzR5u77,,,,,30.0408935546875,-95.5301971435547000,anonymous,EN,Go to the green ball and stop in front of it.,Find the red ball and drop it in front of the yellow box.,Go to the red box in the room with the green box.,Go to the purple key.,1,Pick up the green box and drop it above the green ball.,Go to the grey ball located nearest to the red box.,Travel through the rooms to find the red ball.,Find the grey key located in the room with the blue key and red box.,3,Find the green key then go to the room with the green ball.,Find and pick up the yellow box then go to the room with both the purple and green keys in it.,"Move the purple ball to the room with the blue key, then find the yellow ball and move one space right and one space up in the same room.",Go through the red door to the empty room.,2,"Find the blue ball, pick it up and move it to the room with only one green ball in it.","Find and pick up the grey box in the room with no other boxes, then go to the room with the other grey boxes.",Find and pick up the grey ball and place it in the room with the yellow key. Then pick up the blue key and place it in front of the yellow box. Then find and pick up the red box and go back to the room with the yellow key. ,Find and pick up the green box in the room that also has a yellow box in it.,Pick up the red box in the room with the purple box and put it back down in the same spot. Then travel to the room with the green box in it.,,,
2021-02-05 13:56:17,2021-02-05 14:47:35,IP Address,157.49.242.133,100,3078,TRUE,2021-02-05 14:47:35,R_bDtUwpM1FzfzxvP,,,,,13.0579071044922000,80.192108154296900,anonymous,EN,A red Arrow pointer moving towards greeen point,A red arrow above the blue point moves forward three boxes and took one box left side then started moving forward by taking or passing red dot and turned left side. ,A red arrow should reach a red box by passing through two blue boxes and one purple box.,Get the purple key without passing through any other colored boxes.,1,"Move towards the green door, open it and return to starting point.",Move forward three boxes and turn left move forward and turn right and move forward.,"Pass through the yellow door , green door , again another yellow door and purple door and reach red point.",Get the grey color key by passing through the grey door.,3,"Open the green door and come back to the same block and open blue door. Then pass thTrough the green door ,open purple door and open yellow door. Come back through purple door. Then pass through another two green doors ",Open the red door and come back to starting block . Then open the grey door and blue door and another grey door. Get the yellow box and come back through grey and blue box.,"Open the green door and come back and open grey door ,collect purple ball. Open another grey door and other three green doors and get the yellow ball.",Get the yellow box,2,"Go through the red door , collect the blue ball and open the green door.","Open and pass through the purple door , collect grey box. Open the grey door and pass. Then open the blue door and continuous two green doors. Come back to blue door block and open green door.",Open and pass through the one grey door and three continuous purple door . Collect grey ball and blue key. Move to previous block and open grey door and get red box.,"Open and pass through the blue door , collect green box.",Open and pass through the next continuous red doors. Collect red box. Came back and open next continuous blue door pass through it. And come back to starting block.,,Interesting task.,
2021-02-05 15:02:45,2021-02-05 15:35:46,IP Address,73.173.103.253,100,1981,TRUE,2021-02-05 15:35:47,R_2dt4aHGs1kUUxIM,,,,,39.21240234375,-76.87760162353520000,anonymous,EN,Go to the green circle.,Place the red circle right above the yellow box.,Go to the red box that is behind a blue door.,Go to the purple key.,1,Place the green box right above the green circle.,Go to the gray circle that is adjacent to the yellow circle.,Go to the red circle that is behind a purple door.,Go to the gray key in a room with a red box.,3,Take the green key to the purple box that is behind a blue door.,Bring the yellow box to the purple key that is in the same room as a grey circle.,Find the yellow circle behind a green door and move it one square diagonally up and to the right.,Pick up the yellow box and then put it back down in the same spot and go to the red door.,2,Go to the purple circle that is next to a blue door.,Pick up the gray box that is behind a purple door and go to the left of a gray box that is two squares below a green door.,"Pick up the blue key and move it just below the yellow box, then pick up the red box.",Pick up the green box which is five squares above a yellow box.,"Pick up the red box behind the red door and immediately put it down in the same spot, then go to the gray circle.",,In case there is no code at the end my worker ID is A272X64FOZFYLB.,26363
2021-02-07 12:46:59,2021-02-07 13:06:30,IP Address,199.255.69.217,100,1170,TRUE,2021-02-07 13:06:30,R_3e4vjpEXmLQqvYe,,,,,36.6739044189453000,-88.4253997802734000,anonymous,EN,Go stand in front of the green dot,Go put the red dot in front of the yellow box.,Go to the room with the red and green box and stand in front of the red box.,Go stand in front of the purple key.,1,Go move the green box beside the green circle.,Go face the gray circle.,Go find the red circle and stand in front of it.,Go find the nearest grey key and stand in front of it.,1,Go check all the rooms with items and pick up the green key when you find it.,Go find the yellow box and pick it up.,Go search the other rooms for what items they have.,Go pick up and put down the yellow box.,2,Go unblock the entry ways of the rooms,Go find and pick up the grey box and bring it to the room with the other grey boxes,Go move the blue key next to the yellow box and go pick up the red box.,Go pick up the green box,Go find and pick up the red box in the room with the purple box and put it back down.,,I hope I did it correctly and gave what I was supposed to! :),95215
2021-02-07 14:01:36,2021-02-07 14:26:40,IP Address,23.126.177.129,100,1503,TRUE,2021-02-07 14:26:40,R_2BbWhFQBvJE6EIN,,,,,37.4445953369141000,-122.183502197266000,anonymous,EN,Go to the green circle in the upper right corner,Pick up the red circle next to the red key then go to the yellow rectangles in the bottom left corner and stop before the red dot that will appear there.,Go through the rooms until you find the red rectangles,Go to the purple key,1,Pick up the green rectangles then place them down in front of the greet circle,Go around the red rectangle and stop in front of the gray dot next to the yellow dot,Go through the rooms until you find the red circle.,Search the rooms until you find a gray key in the same room as a blue key,3,"Pick up the blue key, place it in the same spot, then move through rooms until you find a green key. Pick up the green key then go to the room with a blue and green circle. Stop between the blue circle and the purple rectangles.",Search through the rooms in a counter clockwise manner until you find the yellow rectangles. Pick them up then start to head back the way you came until you go through two doors. Stop.,Move through the rooms. Open doors and move any obstacles out of the way.,Pick up the yellow rectangles then put them down in the same place. Go to the Red door then open it.,2,Go through the red door. Pick up the blue circle then place in the room you just left. Move down until you find the purple circle.,Go to the room with one red circle and gray rectangles. Pick up the gray rectangles. Search through the rest of the rooms until you find the green key,Go through the rooms until you find the gray circle in front of the open door. Move the gray circle then find the blue key. Place the blue key in front of the yellow rectangles. Find the red rectangles and pick it up. Continue to move back the way you came,Leave the room with the green rectangles and yellow key via the blue door. Find the green rectangles in the next room and pick it up,Go through red doors until you find the red rectangles. Pick them up then put them down again. Go through more rooms until you find the one with a gray circle. Stop in front of the gray circle.,,,66412
2021-02-07 15:20:38,2021-02-07 15:46:11,IP Address,68.49.218.99,100,1532,TRUE,2021-02-07 15:46:11,R_2f0PQtQi5lkTZaa,,,,,43.02130126953130,-85.6063995361328000,anonymous,EN,Go to the green ball,Grab the red ball and bring it to the yellow box,Open 4 doors and go to the red box,Get the purple key,1,Pick up the green chest and bring it over to the green ball,Go to the grey ball that is next to the yellow ball,go though doors and find the red ball,Go through doors and find the grey key,3,Find and pick up the green key,find the yellow box and bring it to the purple key,"Move the purple ball to enter the first room, then move the yellow ball to enter the yellow room",pick up the yellow box then set it back down in the same spot,2,Go through the red door by moving the blue ball behind you,Pick up the first grey box that you see and bring it to the green key,"Move the grey ball from the blue door, than grab the blue key and bring it to the yellow box, then finish it up by going and grabbing the red box",Go grab the green box,"pick up the red box and put it right back, then go through the purple door to the grey ball",,i think i did that right. the bot did no always end in a specific task,59626
2021-02-13 11:39:05,2021-02-13 12:16:05,IP Address,71.239.123.249,100,2220,TRUE,2021-02-13 12:16:05,R_1NDDbpjLnkZrd8h,,,,,41.4705963134766000,-87.07830047607420000,anonymous,EN,Move to the green ball and face it,Pick up the red ball and place it in front of the yellow box,Find the red box,Find the purple key,1,Pick up the green box and place it next to the green ball,Move next to a grey ball,Find the red ball,Find the grey key,3,Pick up the green key,Pick up the yellow box,Search every room,Move to the red door,2,Move to the purple ball,Find the green key,Move the blue key next to the yellow box and pick up the red box,Take the green box through the yellow door,Find the grey ball,,,45235
2021-02-13 14:00:50,2021-02-13 14:18:53,IP Address,173.175.21.43,100,1083,TRUE,2021-02-13 14:18:54,R_erKSAcqdD8iFRPH,,,,,31.0261993408203000,-97.61309814453130,anonymous,EN,Find the green ball. ,Pick up the red ball and put it in front of the yellow door. ,Find a red box. ,Find the purple key. ,1,Put the green box next to the green ball. ,Find the gray ball that's next to the yellow ball. ,Find a red ball. ,Find a gray ball and gray key. ,3,Find all the green objects. ,Pick up the yellow box and bring it to the gray ball. ,Unblock all the doors. ,Pick up and put down the yellow box. ,2,Find a blue door. ,Find the green key. ,Pick up the red box. ,Open the green door. ,Find a gray ball. ,,I've got nothing. ,62040
