Task,No Training,Training,GPT-2,No Demo,Our Tool
1,0.16,0.8,0.38,0.32,0.34
2,0.14,0.38,0.52,0.4,0.38
3,0.2,0.64,0.48,0.5,0.4
4,0.22,0.8,0.7,0.72,0.78
5,0.3,0.42,0.48,0.42,0.66
6,0.16,0.44,0.4,0.4,0.4
7,0.16,0.68,0.54,0.58,0.66
8,0.06,0.4,0.5,0.5,0.48
9,0.16,0.44,0.44,0.54,0.54
10,0.1,0.26,0.5,0.46,0.68
11,0.04,0.46,0.28,0.44,0.4
12,0.14,0.54,0.4,0.56,0.56
13,0.08,0.54,0.68,0.72,0.8
14,0.06,0.2,0.26,0.3,0.22
15,0.12,0.34,0.4,0.44,0.46
16,0.2,0.38,0.5,0.28,0.44
17,0.06,0.32,0.66,0.68,0.5
